date,close
2-Jan-86,209.59
3-Jan-86,210.88
6-Jan-86,210.65
7-Jan-86,213.8
8-Jan-86,207.97
9-Jan-86,206.11
10-Jan-86,205.96
13-Jan-86,206.72
14-Jan-86,206.64
15-Jan-86,208.26
16-Jan-86,209.17
17-Jan-86,208.43
20-Jan-86,207.53
21-Jan-86,205.79
22-Jan-86,203.49
23-Jan-86,204.25
24-Jan-86,206.43
27-Jan-86,207.39
28-Jan-86,209.81
29-Jan-86,210.29
30-Jan-86,209.33
31-Jan-86,211.78
3-Feb-86,213.96
4-Feb-86,212.79
5-Feb-86,212.96
6-Feb-86,213.47
7-Feb-86,214.56
10-Feb-86,216.24
11-Feb-86,215.92
12-Feb-86,215.97
13-Feb-86,217.4
14-Feb-86,219.76
18-Feb-86,222.45
19-Feb-86,219.76
20-Feb-86,222.22
21-Feb-86,224.62
24-Feb-86,224.34
25-Feb-86,223.79
26-Feb-86,224.04
27-Feb-86,226.77
28-Feb-86,226.92
3-Mar-86,225.42
4-Mar-86,224.38
5-Mar-86,224.34
6-Mar-86,225.13
7-Mar-86,225.57
10-Mar-86,226.58
11-Mar-86,231.69
12-Mar-86,232.54
13-Mar-86,233.19
14-Mar-86,236.55
17-Mar-86,234.67
18-Mar-86,235.78
19-Mar-86,235.6
20-Mar-86,236.54
21-Mar-86,233.34
24-Mar-86,235.33
25-Mar-86,234.72
26-Mar-86,237.3
27-Mar-86,238.97
31-Mar-86,238.9
1-Apr-86,235.14
2-Apr-86,235.71
3-Apr-86,232.47
4-Apr-86,228.69
7-Apr-86,228.63
8-Apr-86,233.52
9-Apr-86,233.75
10-Apr-86,236.44
11-Apr-86,235.97
14-Apr-86,237.28
15-Apr-86,237.73
16-Apr-86,242.22
17-Apr-86,243.03
18-Apr-86,242.38
21-Apr-86,244.74
22-Apr-86,242.42
23-Apr-86,241.75
24-Apr-86,242.02
25-Apr-86,242.29
28-Apr-86,243.08
29-Apr-86,240.51
30-Apr-86,235.52
1-May-86,235.16
2-May-86,234.79
5-May-86,237.73
6-May-86,237.24
7-May-86,236.08
8-May-86,237.13
9-May-86,237.85
12-May-86,237.58
13-May-86,236.41
14-May-86,237.54
15-May-86,234.43
16-May-86,232.76
19-May-86,233.2
20-May-86,236.11
21-May-86,235.45
22-May-86,240.12
23-May-86,241.35
27-May-86,244.75
28-May-86,246.63
29-May-86,247.98
30-May-86,247.35
2-Jun-86,245.04
3-Jun-86,245.51
4-Jun-86,243.94
5-Jun-86,245.65
6-Jun-86,245.67
9-Jun-86,239.96
10-Jun-86,239.58
11-Jun-86,241.13
12-Jun-86,241.49
13-Jun-86,245.73
16-Jun-86,246.13
17-Jun-86,244.35
18-Jun-86,244.99
19-Jun-86,244.06
20-Jun-86,247.58
23-Jun-86,245.26
24-Jun-86,247.03
25-Jun-86,248.93
26-Jun-86,248.74
27-Jun-86,249.6
30-Jun-86,250.84
1-Jul-86,252.04
2-Jul-86,252.7
3-Jul-86,251.79
7-Jul-86,244.05
8-Jul-86,241.59
9-Jul-86,242.82
10-Jul-86,243.01
11-Jul-86,242.22
14-Jul-86,238.11
15-Jul-86,233.66
16-Jul-86,235.01
17-Jul-86,236.07
18-Jul-86,236.36
21-Jul-86,236.24
22-Jul-86,238.18
23-Jul-86,238.67
24-Jul-86,237.95
25-Jul-86,240.22
28-Jul-86,236.01
29-Jul-86,234.55
30-Jul-86,236.59
31-Jul-86,236.12
1-Aug-86,234.91
4-Aug-86,235.99
5-Aug-86,237.03
6-Aug-86,236.84
7-Aug-86,237.04
8-Aug-86,236.88
11-Aug-86,240.68
12-Aug-86,243.34
13-Aug-86,245.67
14-Aug-86,246.25
15-Aug-86,247.15
18-Aug-86,247.38
19-Aug-86,246.51
20-Aug-86,249.77
21-Aug-86,249.67
22-Aug-86,250.19
25-Aug-86,247.81
26-Aug-86,252.84
27-Aug-86,253.3
28-Aug-86,252.84
29-Aug-86,252.93
2-Sep-86,248.52
3-Sep-86,250.08
4-Sep-86,253.83
5-Sep-86,250.47
8-Sep-86,248.14
9-Sep-86,247.67
10-Sep-86,247.06
11-Sep-86,235.18
12-Sep-86,230.67
15-Sep-86,231.94
16-Sep-86,231.72
17-Sep-86,231.68
18-Sep-86,232.31
19-Sep-86,232.21
22-Sep-86,234.93
23-Sep-86,235.67
24-Sep-86,236.28
25-Sep-86,231.83
26-Sep-86,232.23
29-Sep-86,229.91
30-Sep-86,231.32
1-Oct-86,233.6
2-Oct-86,233.92
3-Oct-86,233.71
6-Oct-86,234.78
7-Oct-86,234.41
8-Oct-86,236.68
9-Oct-86,235.85
10-Oct-86,235.48
13-Oct-86,235.91
14-Oct-86,235.37
15-Oct-86,238.8
16-Oct-86,239.53
17-Oct-86,238.84
20-Oct-86,235.97
21-Oct-86,235.88
22-Oct-86,236.26
23-Oct-86,239.28
24-Oct-86,238.26
27-Oct-86,238.77
28-Oct-86,239.26
29-Oct-86,240.94
30-Oct-86,243.71
31-Oct-86,243.98
3-Nov-86,245.8
4-Nov-86,246.2
5-Nov-86,246.58
6-Nov-86,245.87
7-Nov-86,245.77
10-Nov-86,246.13
11-Nov-86,247.08
12-Nov-86,246.64
13-Nov-86,243.02
14-Nov-86,244.5
17-Nov-86,243.21
18-Nov-86,236.78
19-Nov-86,237.66
20-Nov-86,242.05
21-Nov-86,245.86
24-Nov-86,247.45
25-Nov-86,248.17
26-Nov-86,248.77
28-Nov-86,249.22
1-Dec-86,249.05
2-Dec-86,254
3-Dec-86,253.85
4-Dec-86,253.04
5-Dec-86,251.17
8-Dec-86,251.16
9-Dec-86,249.28
10-Dec-86,250.96
11-Dec-86,248.17
12-Dec-86,247.35
15-Dec-86,248.21
16-Dec-86,250.04
17-Dec-86,247.56
18-Dec-86,246.78
19-Dec-86,249.73
22-Dec-86,248.75
23-Dec-86,246.34
24-Dec-86,246.75
26-Dec-86,246.92
29-Dec-86,244.67
30-Dec-86,243.37
31-Dec-86,242.17
2-Jan-87,246.45
5-Jan-87,252.19
6-Jan-87,252.78
7-Jan-87,255.33
8-Jan-87,257.28
9-Jan-87,258.73
12-Jan-87,260.3
13-Jan-87,259.95
14-Jan-87,262.64
15-Jan-87,265.49
16-Jan-87,266.28
19-Jan-87,269.34
20-Jan-87,269.04
21-Jan-87,267.84
22-Jan-87,273.91
23-Jan-87,270.1
26-Jan-87,269.61
